A 313 200 000 UI POUR CENT, pommade
SPIRAMYCINE/METRONIDAZOLE ARROW 1,5 M.U.I./250 mg, comprimé pelliculé
SPIRAMYCINE/METRONIDAZOLE ARROW 750.000 UI/125 mg, comprimé pelliculé
SPIRAMYCINE/METRONIDAZOLE BIOGARAN 1,5 M.U.I./250 mg, comprimé pelliculé
SPIRAMYCINE/METRONIDAZOLE BIOGARAN 750.000 UI/125 mg, comprimé pelliculé
SPIRAMYCINE/METRONIDAZOLE CRISTERS 1,5 M UI/250 mg, comprimé pelliculé
SPIRAMYCINE/METRONIDAZOLE CRISTERS 750.000 UI/125 mg, comprimé pelliculé
SPIRAMYCINE/METRONIDAZOLE EG 1,5 M.U.I./250 mg, comprimé pelliculé
SPIRAMYCINE/METRONIDAZOLE EG 750.000 UI/125 mg, comprimé pelliculé
SPIRAMYCINE/METRONIDAZOLE QUALIMED 1,5 M.U.I./250 mg, comprimé pelliculé
SPIRAMYCINE/METRONIDAZOLE RANBAXY 1,5 M.U.I./250 mg, comprimé pelliculé
SPIRAMYCINE/METRONIDAZOLE RATIOPHARM 1,5 M.U.I./250 mg, comprimé pelliculé
SPIRAMYCINE/METRONIDAZOLE SANDOZ 1,5 M.U.I./250 mg, comprimé pelliculé
SPIRAMYCINE/METRONIDAZOLE TEVA 1,5 M.U.I./250 mg, comprimé pelliculé
SPIRAMYCINE/METRONIDAZOLE TEVA 750.000 UI/125 mg, comprimé pelliculé
SPIRAMYCINE/METRONIDAZOLE ZYDUS 1,5 M.U.I./250 mg, comprimé pelliculé
SPIRIVA 18 microgrammes, poudre pour inhalation en gélule
SPIRIVA RESPIMAT 2,5 microgrammes/dose, solution pour inhalation
SPIROCTAN 50 mg, gélule
SPIROCTAN 75 mg, gélule
SPIROCTAZINE, comprimé pelliculé sécable
SPIROLEPT 200 millions U/ml, suspension injectable en seringue pré-remplie vaccin leptospires inactivé
SPIRONOLACTONE ACTAVIS 25 mg, comprimé pelliculé sécable
SPIRONOLACTONE ALTIZIDE ARROW 25 mg/15 mg, comprimé pelliculé sécable
SPIRONOLACTONE ALTIZIDE BIOGARAN 25 mg/15 mg, comprimé sécable
SPIRONOLACTONE ALTIZIDE EG 25 mg/15 mg, comprimé pelliculé sécable
SPIRONOLACTONE ALTIZIDE MYLAN 25 mg/15 mg, comprimé pelliculé sécable
SPIRONOLACTONE ALTIZIDE PFIZER, comprimé sécable
SPIRONOLACTONE ALTIZIDE SANDOZ 25 mg/15 mg, comprimé sécable
SPIRONOLACTONE ALTIZIDE TEVA 25 mg/15 mg, comprimé pelliculé sécable
SPIRONOLACTONE ALTIZIDE ZENTIVA 25 mg/15 mg, comprimé sécable
SPIRONOLACTONE ARROW 25 mg, comprimé pelliculé sécable
SPIRONOLACTONE ARROW 50 mg, comprimé pelliculé sécable
SPIRONOLACTONE ARROW 75 mg, comprimé pelliculé sécable
SPIRONOLACTONE ARROW LAB 50 mg, comprimé pelliculé sécable
SPIRONOLACTONE ARROW LAB 75 mg, comprimé pelliculé sécable
SPIRONOLACTONE BIOGARAN 25 mg, comprimé sécable
SPIRONOLACTONE BIOGARAN 50 mg, comprimé sécable
SPIRONOLACTONE BIOGARAN 75 mg, comprimé sécable
SPIRONOLACTONE CRISTERS 25 mg, comprimé pelliculé sécable
SPIRONOLACTONE CRISTERS 50 mg, comprimé pelliculé sécable
SPIRONOLACTONE CRISTERS 75 mg, comprimé pelliculé sécable
SPIRONOLACTONE EG 25 mg, comprimé pelliculé sécable
SPIRONOLACTONE EG 50 mg, comprimé pelliculé sécable
SPIRONOLACTONE EG 75 mg, comprimé pelliculé sécable
SPIRONOLACTONE MICROFINE RATIOPHARM 50 mg, comprimé sécable
SPIRONOLACTONE MYLAN 25 mg, comprimé pelliculé sécable
SPIRONOLACTONE MYLAN 50 mg, comprimé pelliculé sécable
SPIRONOLACTONE MYLAN 75 mg, comprimé pelliculé
SPIRONOLACTONE PFIZER 25 mg, comprimé sécable
SPIRONOLACTONE PFIZER 50 mg, comprimé sécable
SPIRONOLACTONE PFIZER 75 mg, comprimé
SPIRONOLACTONE RATIOPHARM 25 mg, comprimé pelliculé sécable
SPIRONOLACTONE RATIOPHARM 75 mg, comprimé pelliculé sécable
SPIRONOLACTONE RPG 50 mg, comprimé
SPIRONOLACTONE RPG 75 mg, comprimé
SPIRONOLACTONE SANDOZ 25 mg, comprimé pelliculé sécable
SPIRONOLACTONE SANDOZ 50 mg, comprimé pelliculé sécable
SPIRONOLACTONE SANDOZ 75 mg, comprimé pelliculé sécable
SPIRONOLACTONE TEVA 25 mg, comprimé pelliculé sécable
SPIRONOLACTONE TEVA 50 mg, comprimé pelliculé sécable
SPIRONOLACTONE TEVA 75 mg, comprimé pelliculé sécable
SPIRONOLACTONE ZENTIVA 25 mg, comprimé pelliculé sécable
SPIRONOLACTONE ZENTIVA 50 mg, comprimé sécable
SPIRONOLACTONE ZENTIVA 75 mg, comprimé sécable
SPIRONOLACTONE ZYDUS 25 mg, comprimé pelliculé sécable
SPIRONOLACTONE ZYDUS 50 mg, comprimé pelliculé sécable
SPIRONOLACTONE ZYDUS 75 mg, comprimé pelliculé sécable
SPLENOCARBINE 17 POUR CENT, granulé à croquer
SPORANOX 10 mg/ml, solution buvable
SPORANOX 100 mg, gélule
SPORILINE 1 POUR CENT, lotion
SPORTENINE, comprimé à croquer
SPOTOF 1 g/10 ml, solution buvable en ampoule
SPOTOF 500 mg, comprimé pelliculé
SPRAY PAX, solution pour pulvérisation cutanée
SPREGAL, lotion en flacon pressurisé
SPRYCEL 100 mg, comprimé pelliculé
SPRYCEL 140 mg, comprimé pelliculé
SPRYCEL 20 mg, comprimé pelliculé
SPRYCEL 50 mg, comprimé pelliculé
SPRYCEL 70 mg, comprimé pelliculé
SRILANE 5 POUR CENT, crème
STABLON 12,5 mg, comprimé enrobé
STAGID 700 mg, comprimé sécable
STALEVO 100 mg/25 mg/200 mg, comprimé pelliculé
STALEVO 125 mg/31,25 mg/200 mg, comprimé pelliculé
STALEVO 150 mg/37,5 mg/200 mg, comprimé pelliculé
STALEVO 175 mg/43,75 mg/200 mg, comprimé pelliculé
STALEVO 200 mg/50 mg/200 mg, comprimé pelliculé
STALEVO 50 mg/12,5 mg/200 mg, comprimé pelliculé
STALEVO 75 mg/18,75 mg/200 mg, comprimé pelliculé
STAMARIL, poudre et solvant pour suspension injectable en seringue préremplie, Vaccin de la fièvre jaune (Vivant)
STAMICIS 1 mg, trousse pour préparation radiopharmaceutique
STAPHYSAGRIA BOIRON, degré de dilution compris entre 2CH et 30CH ou entre 4DH et 60DH
STAPHYSAGRIA LEHNING, degré de dilution compris entre 2CH et 30CH ou entre 4DH et 60DH
STAPHYSAGRIA WELEDA, degré de dilution compris entre 2CH et 30CH ou entre 4DH et 60DH
STEDIRIL, comprimé enrobé
STELARA 45 mg, solution injectable
STELARA 45 mg, solution injectable en seringue préremplie
STELARA 90 mg, solution injectable en seringue préremplie
STEOVESS 70 mg, comprimé effervescent
STERDEX, pommade ophtalmique en récipient unidose
STERIDOSE, solution pour lavage ophtalmique en récipient unidose
STERILENE à 0,5 POUR CENT, solution pour application locale
STERILLIUM, solution pour application locale en flacon
STERLANE, solution pour application locale en flacon
STEROGYL 15 A 600 000 UI/ 1,5 ml, solution buvable en ampoule
STEROGYL 15 H 600 000 UI/1,5 ml, solution injectable IM en ampoule
STEROGYL 2 000 000 UI/100 ml, solution buvable en gouttes
STICTA PULMONARIA BOIRON, degré de dilution compris entre 2CH et 30CH ou entre 4DH et 60DH
STICTA PULMONARIA LEHNING, degré de dilution compris entre 2CH et 30CH ou entre 4DH et 60DH
STICTA PULMONARIA WELEDA, degré de dilution compris entre 2CH et 30CH ou entre 4DH et 60DH
STILNOX 10 mg, comprimé pelliculé sécable
STIMOL 1 g, poudre effervescente pour solution buvable en sachet-dose
STIMOL 1 g/10 ml, solution buvable en ampoule
STIMOL, solution buvable en sachet
STIMU GH 50 microgrammes, poudre et solvant pour solution injectable (IV)
STIMU-ACTH 100 microgrammes/ml, poudre et solvant pour solution injectable
STIMYCINE 2,09 POUR CENT, solution pour application locale
STIVARGA 40 mg, comprimé pelliculé
STODALINE SANS SUCRE, sirop édulcoré au sorbitol et au maltitol liquide
STOMEDINE 200 mg, comprimé effervescent
STRAMONIUM BOIRON, degré de dilution compris entre 2CH et 30CH ou entre 4DH et 60DH
STRAMONIUM LEHNING, degré de dilution compris entre 2CH et 30CH ou entre 4DH et 60DH
STRAMONIUM WELEDA, degré de dilution compris entre 2CH et 30CH ou entre 4DH et 60DH
STREFEN 8,75 mg ORANGE SANS SUCRE, pastille édulcorée à l'acésulfame potassique
STREFEN 8,75 mg, pastille
STREPSILS CITRON SANS SUCRE, pastille édulcorée à l'isomalt, au maltitol et à la saccharine sodique
STREPSILS FRAISE SANS SUCRE, pastille édulcorée à l'isomalt, au maltitol et à la saccharine sodique
STREPSILS LIDOCAINE, pastille
STREPSILS MENTHE GLACIALE, pastille à sucer
STREPSILS MIEL CITRON, pastille à sucer
STREPSILS ORANGE VITAMINE C, pastille
STREPSILSPRAY (à la lidocaïne), collutoire
STREPTASE 1 500 000 U.I., poudre pour solution injectable ou pour perfusion
STREPTASE 250 000 U.I., poudre pour solution injectable ou pour perfusion
STREPTASE 750 000 U.I., poudre pour solution injectable ou pour perfusion
STREPTOMYCINE PANPHARMA 1 g, poudre pour préparation injectable
STRESAM, gélule
STRESSDORON, solution buvable en gouttes
STRIADYNE 20 mg/2 ml, solution injectable en ampoule
STRIBILD 150 mg/150 mg/200 mg/245 mg, comprimé pelliculé
STRIVERDI RESPIMAT 2,5 microgrammes/dose, solution pour inhalation
STROMECTOL 3 mg, comprimé
STRUCTOCAL VITAMINE D3 1000 mg/880 UI, comprimé à croquer
STRUCTOFLEX 625 mg, gélule
STRUCTOKABIVEN 870 Kcal 1300 Kcal, 1700 Kcal, émulsion pour perfusion
STRUCTUM 500 mg, gélule
SUBCUVIA 160 g/l, solution injectable
SUBOXONE 2 mg/0,5 mg, comprimé sublingual
SUBOXONE 8 mg/2 mg, comprimé sublingual
SUBUTEX 0,4 mg, comprimé sublingual
SUBUTEX 2 mg, comprimé sublingual
SUBUTEX 8 mg, comprimé sublingual
SUCCICAPTAL 100 mg, gélule
SUCCICAPTAL 200 mg, gélule
SUCCINIMIDE PHARBIOL 3 g, poudre pour suspension buvable en sachet-dose
SUDAFED 60 mg, comprimé enrobé
SUDAFED, sirop
SUFENTA 10 microgrammes/2 ml, solution injectable (I.V. ou péridurale)
SUFENTA 250 microgrammes/5 ml, solution injectable (I.V. ou péridurale) en ampoule
SUFENTA 50 microgrammes/10 ml, solution injectable (I.V.ou péridurale)
SUFENTANIL EUROCEPT 5 microgrammes/ml, solution injectable (IV ou péridurale)
SUFENTANIL EUROCEPT 50 microgrammes/ml, solution injectable (IV ou péridurale)
SUFENTANIL MYLAN 5 microgrammes/ml, solution injectable (IV ou péridurale)
SUFENTANIL MYLAN 50 microgrammes/ml, solution injectable
SUFENTANIL PANPHARMA 5 microgrammes/ml, solution injectable (IV ou péridurale)
SUFENTANIL PANPHARMA 50 microgrammes/ml, solution injectable (IV ou péridurale)
SUFENTANIL RENAUDIN 5 microgrammes/ml, solution injectable (IV ou péridurale)
SUFENTANIL RENAUDIN 50 microgrammes/ml, solution injectable (IV ou péridurale)
SULFARLEM 12,5 mg, comprimé enrobé
SULFARLEM S 25 mg, comprimé enrobé
SULFATE DE MAGNESIUM LAVOISIER 15 POUR CENT (0,15 g/ml), solution injectable (IV) en ampoule
SULFATE DE MAGNESIUM PROAMP 0,15 g/ml, solution injectable
SULFATE DE MAGNESIUM RENAUDIN 10 %, solution injectable (IV)
SULFATE DE MAGNESIUM RENAUDIN 15 %, solution injectable (I.V.)
SULFUR BOIRON, degré de dilution compris entre 2CH et 30CH ou entre 4DH et 60DH
SULFUR FERRIER, degré de dilution compris entre 4CH et 30CH ou entre 8DH et 60DH
SULFUR IODATUM BOIRON, degré de dilution compris entre 3CH et 30CH ou entre 6DH et 60DH
SULFUR IODATUM LEHNING, degré de dilution compris entre 3CH et 30CH ou entre 6DH et 60DH
SULFUR IODATUM WELEDA, degré de dilution compris entre 3CH et 30CH ou entre 6DH et 60DH
SULFUR LEHNING, degré de dilution compris entre 2CH et 30CH ou entre 4DH et 60DH
SULFUR WELEDA, degré de dilution compris entre 2CH et 30CH ou entre 4DH et 60DH
SULFURE DE RHENIUM [186 Re], CIS bio international, suspension colloïdale injectable pour voie intra-articulaire [Référence : RE-186-MM-1]
SULFURICUM ACIDUM BOIRON, degré de dilution compris entre 2CH et 30CH ou entre 4DH et 60DH
SULFURICUM ACIDUM LEHNING, degré de dilution compris entre 2CH et 30CH ou entre 4DH et 60DH
SULFURYL 200 mg, comprimé à croquer
SULPIRIDE MYLAN 200 mg, comprimé sécable
SULPIRIDE MYLAN 50 mg, gélule
SULPIRIDE SANDOZ 50 mg, gélule
SULPIRIDE TEVA 200 mg, comprimé sécable
SULPIRIDE TEVA 50 mg, gélule
SULPIRIDE ZENTIVA 200 mg, comprimé sécable
SULPIRIDE ZENTIVA 50 mg, gélule
SUMATRIPTAN SUN 6 mg/0,5 ml, solution injectable en seringue préremplie (voie SC)
SUMATRIPTAN TEVA 50 mg, comprimé pelliculé sécable
SUPPLIVEN, solution à diluer pour perfusion
SUPPOSITOIRE A LA GLYCERINE ADULTES SOGIPHAR, suppositoire
SUPPOSITOIRE A LA GLYCERINE CENTRAPHARM ADULTES, suppositoire en vrac
SUPPOSITOIRE A LA GLYCERINE CENTRAPHARM ENFANTS, suppositoire
SUPPOSITOIRE A LA GLYCERINE CENTRAPHARM ENFANTS, suppositoire en vrac
SUPPOSITOIRE A LA GLYCERINE CENTRAPHARM NOURRISSONS, suppositoire
SUPPOSITOIRE A LA GLYCERINE ENFANTS GIFRER, suppositoire
SUPPOSITOIRE A LA GLYCERINE GIFRER ADULTES, suppositoire
SUPPOSITOIRE A LA GLYCERINE GIFRER NOURRISSONS, suppositoire
SUPPOSITOIRE A LA GLYCERINE GILBERT ENFANTS, suppositoire
SUPPOSITOIRE A LA GLYCERINE GILBERT NOURRISSONS, suppositoire
SUPPOSITOIRE A LA GLYCERINE MAYOLY SPINDLER ADULTES, suppositoire
SUPPOSITOIRE A LA GLYCERINE MAYOLY SPINDLER ENFANTS, suppositoire
SUPPOSITOIRE A LA GLYCERINE MAYOLY SPINDLER NOURRISSONS, suppositoire
SUPPOSITOIRES A LA GLYCERINE CENTRAPHARM ADULTES, suppositoire
SUPPOSITOIRES A LA GLYCERINE CENTRAPHARM NOURRISSONS, suppositoire en vrac
SUPPOSITOIRES A LA GLYCERINE COOPER ADULTES, suppositoire en récipient multidose
SUPPOSITOIRES A LA GLYCERINE EVOLUPHARM ADULTES, suppositoire en récipient multidose
SUPPOSITOIRES A LA GLYCERINE GILBERT ADULTES, suppositoire
SUPPOSITOIRES A LA GLYCERINE MONOT ADULTES
SUPPOSITOIRES A LA GLYCERINE MONOT ENFANTS
SUPPOSITOIRES A LA GLYCERINE MONOT NOURRISSONS
SUPRANE, liquide pour inhalation par vapeur
SUPREFACT 1 mg/ml, solution injectable par voie sous-cutanée
SUPREFACT 100 microgrammes (1 mg/ml), solution nasale
SURBRONC EXPECTORANT AMBROXOL 30 mg, comprimé sécable
SURBRONC EXPECTORANT AMBROXOL SANS SUCRE, solution buvable édulcorée à l'acésulfame potassique et au sorbitol
SURELEN ADULTES, solution buvable
SURFORTAN, solution buvable en ampoule
SURGAM 100 mg, comprimé sécable
SURGAM 200 mg, comprimé sécable
SURGESTONE 0,125 mg, comprimé
SURGESTONE 0,250 mg, comprimé
SURGESTONE 0,500 mg, comprimé
SURMONTIL 100 mg, comprimé pelliculé sécable
SURMONTIL 25 mg, comprimé
SURMONTIL 4 POUR CENT, solution buvable, flacon
SUSTIVA 100 mg, gélule
SUSTIVA 200 mg, gélule
SUSTIVA 30 mg/ml, solution buvable
SUSTIVA 50 mg, gélule
SUSTIVA 600 mg, comprimé pelliculé
SUTENT 12,5 mg, gélule
SUTENT 25 mg, gélule
SUTENT 50 mg, gélule
SUXAMETHONIUM AGUETTANT 50 mg/ml, solution injectable
SUXAMETHONIUM BIOCODEX 50 mg/ml, solution injectable
SYCREST 10 mg, comprimé sublingual
SYCREST 5 mg, comprimé sublingual
SYLVANT 100 mg, poudre pour solution à diluer pour perfusion
SYLVANT 400 mg, poudre pour solution à diluer pour perfusion
SYLVIANE, comprimé pelliculé
SYMBICORT TURBUHALER 100/6 microgrammes par dose, poudre pour inhalation
SYMBICORT TURBUHALER 200/6 microgrammes par dose, poudre pour inhalation
SYMBICORT TURBUHALER 400/12 microgrammes/dose, poudre pour inhalation
SYMBICORT TURBUHALER 400/12 microgrammes/dose, poudre pour inhalation
SYMPATHYL, comprimé pelliculé
SYNACTHENE 0,25 mg/1 ml, solution injectable
SYNACTHENE RETARD 1 mg/1 ml, suspension injectable I.M.
SYNAGIS 100 mg, poudre et solvant pour solution injectable
SYNAGIS 50 mg, poudre et solvant pour solution injectable
SYNAREL 0,2 mg/dose, solution pour pulvérisation nasale
SYNAZE 137 microgrammes/50 microgrammes, suspension pour pulvérisation nasale
SYNCORTYL 10 mg/1 ml, solution injectable IM
SYNEDIL 0,5 g/100 ml, solution buvable
SYNEDIL 50 mg, gélule
SYNEDIL FORT 200 mg, comprimé
SYNERCID, poudre pour solution pour perfusion
SYNERGON, solution injectable en ampoule
SYNTHOFLEX 4 %, solution pour pulvérisation cutanée
SYNTHOL, gel
SYNTHOL, solution pour application cutanée
SYNTOCINON 5 U.I/1 ml, solution injectable en ampoule
TABACUM BOIRON, degré de dilution compris entre 2CH et 30CH ou entre 4DH et 60DH
TABACUM LEHNING, degré de dilution compris entre 2CH et 30CH ou entre 4DH et 60DH
TABACUM WELEDA, degré de dilution compris entre 2CH et 30CH ou entre 4DH et 60DH
TABAPASS, comprimé sublingual
TACHOSIL, matrice pour collage tissulaire
TACROLIMUS EG 0,5 mg, gélule
TACROLIMUS EG 1 mg, gélule
TACROLIMUS EG 5 mg, gélule
TADENAN 50 mg, capsule molle
TADIM 1 million d'unités internationales (UI) poudre pour solution pour inhalation par nébuliseur
TAFINLAR 50 mg, gélule
TAFINLAR 75 mg, gélule
TAGRISSO 40 mg, comprimé pelliculé
TAGRISSO 80 mg, comprimé pelliculé
TAHOR 10 mg, comprimé pelliculé
TAHOR 10 mg, comprimé pelliculé
TAHOR 10 mg, comprimé pelliculé
TAHOR 10 mg, comprimé pelliculé
TAHOR 10 mg, comprimé à croquer
TAHOR 20 mg, comprimé pelliculé
TAHOR 20 mg, comprimé à croquer
TAHOR 40 mg, comprimé pelliculé
TAHOR 80 mg, comprimé pelliculé
TAKADOL 100 mg, comprimé effervescent sécable
TAKETIAM 200 mg, comprimé pelliculé
TALOXA 400 mg, comprimé
TALOXA 600 mg, comprimé
TALOXA 600 mg/5 ml suspension buvable
TALTZ 80 mg, solution injectable en seringue pré-remplie
TALTZ 80 mg, solution injectable en stylo pré-rempli
TAMIFLU 12 mg/ml, poudre pour suspension buvable
TAMIFLU 30 mg, gélule
TAMIFLU 45 mg, gélule
TAMIFLU 6 mg/ml, poudre pour suspension buvable
TAMIFLU 75 mg, gélule
TAMIK, capsule
TAMOXIFENE ACTAVIS 10 mg, comprimé pelliculé
TAMOXIFENE ACTAVIS 20 mg, comprimé pelliculé
TAMOXIFENE ARROW 10 mg, comprimé
TAMOXIFENE ARROW 20 mg, comprimé
TAMOXIFENE BIOGARAN 10 mg, comprimé
TAMOXIFENE BIOGARAN 20 mg, comprimé
TAMOXIFENE EG 10 mg, comprimé
TAMOXIFENE EG 20 mg, comprimé
TAMOXIFENE MYLAN 10 mg, comprimé
TAMOXIFENE MYLAN 20 mg, comprimé
TAMOXIFENE RATIOPHARM 10 mg, comprimé
TAMOXIFENE RATIOPHARM 20 mg, comprimé
TAMOXIFENE SANDOZ 10 mg, comprimé pelliculé
TAMOXIFENE SANDOZ 20 mg, comprimé pelliculé
TAMOXIFENE TEVA 10 mg, comprimé pelliculé
TAMOXIFENE TEVA 20 mg, comprimé pelliculé
TAMOXIFENE ZYDUS 20 mg, comprimé pelliculé
TAMSULOSINE ACTAVIS LP 0,4 mg, gélule à libération prolongée
TAMSULOSINE ALMUS L.P. 0,4 mg, gélule à libération prolongée
TAMSULOSINE ARROW LP 0,4 mg, gélule à libération prolongée
TAMSULOSINE BIOGARAN L.P. 0,4 mg, gélule à libération prolongée
TAMSULOSINE BIOGARAN LP 0,4 mg, comprimé à libération prolongée
TAMSULOSINE EG L.P. 0,4 mg, gélule à libération prolongée
TAMSULOSINE EG LP 0,4 mg, comprimé à libération prolongée
TAMSULOSINE GERDA L.P. 0,4 mg, gélule à libération prolongée
TAMSULOSINE ISOMED LP 0.4 mg, gélule à libération prolongée
TAMSULOSINE MYLAN L.P. 0,4 mg, gélule à libération prolongée
TAMSULOSINE MYLAN LP 0,4 mg, comprimé à libération prolongée
TAMSULOSINE QUALIMED L.P. 0,4 mg, gélule à libération prolongée
TAMSULOSINE RANBAXY LP 0,4 mg, gélule à libération prolongée
TAMSULOSINE RATIOPHARM LP 0,4 mg, comprimé à libération prolongée
TAMSULOSINE RATIOPHARM LP 0,4 mg, gélule à libération prolongée
TAMSULOSINE SANDOZ LP 0,4 mg, comprimé pelliculé à libération prolongée
TAMSULOSINE SANDOZ LP 0,4 mg, gélule à libération prolongée
TAMSULOSINE TEVA L.P. 0,4 mg, comprimé pelliculé à libération prolongée
TAMSULOSINE TEVA LP 0,4 mg, gélule à libération prolongée
TAMSULOSINE ZENTIVA LP 0,4 mg, gélule à libération prolongée
TAMSULOSINE ZENTIVA LP 0.4 mg, comprimé à libération prolongée
TAMSULOSINE ZYDUS FRANCE LP 0,4 mg, gélule à libération prolongée
TANAKAN 40 mg, comprimé enrobé
TANAKAN 40 mg/ml, solution buvable
TANATRIL 10 mg, comprimé sécable
TANATRIL 5 mg, comprimé sécable
TANGANIL 500 mg, comprimé
TANGANIL 500 mg/5 ml, solution injectable I.V. en ampoule
TANGANILPRO 500 mg, comprimé
TARAXACUM DENS LEONIS BOIRON, degré de dilution compris entre 2CH et 30CH ou entre 4DH et 60DH
TARAXACUM DENS LEONIS LEHNING, degré de dilution compris entre 2CH et 30CH ou entre 4DH et 60DH
TARAXACUM DENS LEONIS WELEDA, degré de dilution compris entre 2CH et 30CH ou entre 4DH et 60DH
TARCEVA 100 mg, comprimé pelliculé
TARCEVA 150 mg, comprimé pelliculé
TARCEVA 25 mg, comprimé pelliculé
TARDYFERON 80 mg, comprimé pelliculé
TARDYFERON B9, comprimé pelliculé
TAREG 160 mg, comprimé pelliculé
TAREG 3 mg/ml, solution buvable
TAREG 40 mg, comprimé pelliculé sécable
TAREG 80 mg, comprimé pelliculé
TARGOCID 100 mg, poudre et solvant pour solution injectable/pour perfusion ou solution buvable
TARGOCID 200 mg, poudre et solvant pour solution injectable/pour perfusion ou solution buvable
TARGOCID 400 mg, poudre et solvant pour solution injectable/pour perfusion ou solution buvable
TARGRETIN 75 mg, capsule molle
TARKA L.P. 180 mg/2 mg, comprimé pelliculé à libération prolongée
TARKA LP 240 mg/2 mg, comprimé pelliculé à libération prolongée
TARKA LP 240 mg/4 mg, comprimé pelliculé à libération prolongée
TASIGNA 150 mg, gélule
TASIGNA 200 mg, gélule
TASMAR 100 mg, comprimé pelliculé
TAVANIC 5 mg/ml, solution pour perfusion
TAVANIC 500 mg, comprimé pelliculé sécable
TAVANIC 500 mg, comprimé pelliculé sécable
TAVANIC 500 mg, comprimé pelliculé sécable
TAVANIC 500 mg, comprimé pelliculé sécable
TAXOL 6 mg/ml, solution à diluer pour perfusion
TAXOTERE 160 mg/8 ml, solution à diluer pour perfusion
TAXOTERE 20 mg/1 ml, solution à diluer pour perfusion
TAXOTERE 80 mg/4 ml, solution à diluer pour perfusion
TAZOCILLINE 2 g/0,25 g, poudre pour solution pour perfusion
TAZOCILLINE 4 g/0,5 g, poudre pour solution pour perfusion
TEATROIS 0,35 mg, comprimé
TECEOS. Trousse pour la préparation de la solution injectable d'acide 3,3-diphosphono-1,2-propane dicarboxylique (DPD) de technétium [99m Tc]
TECFIDERA 120 mg, gélule gastro-résistante
TECFIDERA 240 mg, gélule gastro-résistante
TECHNESCAN DMSA, poudre pour solution injectable. Trousse pour la préparation de la solution injectable de succimère de technétium [99mTc]
TECHNESCAN DTPA, trousse pour la préparation de la solution injectable de pentétate de technétium [99m Tc]
TECHNESCAN HDP, poudre pour solution injectable. Trousse pour la préparation de la solution injectable d'Oxidronate de technétium [99m Tc]
TECHNESCAN LYOMAA, poudre pour suspension injectable. Trousse pour la préparation de macroagrégats d’albumine humaine technétiés (99mTc)
TECHNESCAN MAG 3, poudre pour solution injectable
TECHNESCAN SESTAMIBI 1 mg, trousse pour préparation radiopharmaceutique
TEDRALAN 200 mg, gélule à libération prolongée
TEGELINE 50 mg/ml, poudre et solvant pour solution pour perfusion
TEGLUTIK 5 mg/ml, suspension buvable
TEGRETOL 20 mg/ml, suspension buvable
TEGRETOL 200 mg, comprimé sécable
TEGRETOL L.P. 200 mg, comprimé pelliculé sécable à libération prolongée
TEGRETOL L.P. 400 mg, comprimé pelliculé sécable à libération prolongée
TEINTURE D'ARNICA GILBERT, compresse imprégnée
TEKCIS 2-50 GBq, générateur radiopharmaceutique
TELEBRIX 12 SODIUM (120 mg I/mL), solution pour administration intra-vésicale
TELEBRIX 30 MEGLUMINE (300 mg l/mL), solution injectable
TELEBRIX 35 (350 mg l/mL), solution injectable
TELEBRIX GASTRO (300 mg l/mL), solution pour administration par voie orale ou rectale
TELEBRIX HYSTERO (250 mg l/mL), solution injectable par voie intra-utérine
TELFAST 120 mg, comprimé pelliculé
TELFAST 180 mg, comprimé pelliculé
TELMISARTAN ACTAVIS 40 mg, comprimé
TELMISARTAN ACTAVIS 80 mg, comprimé
TELMISARTAN BIOGARAN 40 mg, comprimé
TELMISARTAN BIOGARAN 80 mg, comprimé
TELMISARTAN CRISTERS 40 mg, comprimé
TELMISARTAN CRISTERS 80 mg, comprimé
TELMISARTAN EG 40 mg, comprimé pelliculé
TELMISARTAN EG 80 mg, comprimé pelliculé
TELMISARTAN HYDROCHLOROTHIAZIDE TEVA SANTE 80 mg/12,5 mg, comprimé
TELMISARTAN MYLAN 40 mg, comprimé
TELMISARTAN MYLAN 80 mg, comprimé
TELMISARTAN RANBAXY 40 mg, comprimé
TELMISARTAN RANBAXY 80 mg, comprimé
TELMISARTAN SANDOZ 20 mg, comprimé
TELMISARTAN SANDOZ 40 mg, comprimé
TELMISARTAN SANDOZ 80 mg, comprimé
TELMISARTAN TEVA SANTE 40 mg, comprimé
TELMISARTAN TEVA SANTE 80 mg, comprimé
TELMISARTAN ZENTIVA 40 mg, comprimé
TELMISARTAN ZENTIVA 80 mg, comprimé
TELMISARTAN ZYDUS 40 mg, comprimé
TELMISARTAN ZYDUS 80 mg, comprimé
TELMISARTAN/HYDROCHLOROTHIAZIDE ARROW 40 mg/12,5 mg, comprimé
TELMISARTAN/HYDROCHLOROTHIAZIDE ARROW 80 mg/12,5 mg, comprimé
TELMISARTAN/HYDROCHLOROTHIAZIDE ARROW 80 mg/25 mg, comprimé
TELMISARTAN/HYDROCHLOROTHIAZIDE BIOGARAN 40 mg/12,5 mg, comprimé
TELMISARTAN/HYDROCHLOROTHIAZIDE BIOGARAN 80 mg/12,5 mg, comprimé
TELMISARTAN/HYDROCHLOROTHIAZIDE BIOGARAN 80 mg/25 mg, comprimé
TELMISARTAN/HYDROCHLOROTHIAZIDE CRISTERS 40 mg/12,5 mg, comprimé
TELMISARTAN/HYDROCHLOROTHIAZIDE CRISTERS 80 mg/12,5 mg, comprimé
